Organization Name,Organization Code,Organization Parent Organization Name,Organization Active Flag,Organization Parent Organization Code,Organization Type Code,Organization Type Description,total,pgrps-tot,pgrps-faculty,pgrps-staff,pgrps-student,pgrps-dcc
Chief Marketing Communications,CMCO,SVP & Chief Mrktg & Comm Ofcr,Y,SVCM,V,VP LEVEL,0,0,0,0,0,0
SEASON CONCERTS,CNTS,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Cochise1522,CO22,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Communication and Public Affairs,COMM,Cancer Center Administration,Y,721A,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Other Commitment,COMT,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Research Core Services,CORE,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Campus Recreation,CREC,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
CROC Funded IITs,CROC,Cancer Center Clinical Trials Tucson,N,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Center for Insect Science GIDP,CSGP,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COSTUME,CST,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
UACC TUC CTO BMT/Leukemia Team,CTBL,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Breast Team,CTBR,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Clinical Trials-Cooperative Agreements,CTCO,Cancer Center Division,N,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
UACC TUC CTO Gastrointestinal Team,CTGI,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Genitourinary Team,CTGU,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Gynecology Team,CTGY,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Head and Neck Team,CTHN,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Lung Team,CTLU,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Lymphoma Team,CTLY,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Melanoma Team,CTML,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Pediatrics Team,CTPE,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Phase I Trials,CTPI,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Radiation Oncology Team,CTRO,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Sarcoma Team,CTSA,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UACC TUC CTO Supportive Oncology Team,CTSO,Cancer Center Clinical Trials Tucson,Y,721C,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
AZCC Program Review,CTSP,Cancer Center Division,N,0721,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Rebecca Rosenberg,DDOM,Medicine,Y,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DEAN,DEAN,Fine Arts Administration,Y,3501,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Deficit to be funded by COM or UAHS,DEFI,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Div Equity Incl & Title IX,DEIT,Secretary of the University,Y,VCOS,C,COLLEGE,0,0,0,0,0,0
Dean of Students,DNST,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
DoM - Card,DOMB,Medicine,N,0713,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Disability Resource Center,DRCA,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
Development Support,DVLP,Cancer Center Administration,Y,721A,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
DEVELOPMENT OFFICE,DVO,Fine Arts Administration,Y,3501,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
ECO1523,EC23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DoM - Rosa Fung,EDOM,Medicine,Y,0713,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
College of Education,EDUC,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
EF22-Cochise-1522,EF22,Cochise County Office,Y,1522,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
EF23-Nutritional Sciences-1523,EF23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
EF37-Maricopa-1537,EF37,Maricopa County Office,Y,1537,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
EF40-Pima-1540,EF40,Pima County Office,Y,1540,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
EF41-Pinal-1541,EF41,Pinal County Office,Y,1541,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
EF42-Santa Cruz-1542,EF42,Santa Cruz County Office,Y,1542,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Eller Sources,EL00,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
General Office,EL01,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Facilities,EL02,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Development Alumni Special Events (DARS),EL03,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Alumni,EL04,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Marcom,EL05,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Event,EL06,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
eLearning Team,EL07,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Eller Systems Group,EL08,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Tech Innovations,EL09,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
McGuire Ctr - Entrepreneurship,EL10,McGuire Ctr - Entrepreneurship,N,3017,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Academics,EL11,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CMIH,EL12,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Business Consulting,EL13,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Eller Executive Education,EL14,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Eller Distance,EL18,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Eller Online,EL19,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Admin Misc.,EL20,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Eller Carryforward,EL30,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Eller Strategic Initiatives,EL31,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Business Communication,EL40,Management and Organizations,Y,3004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DEAN / ELLER COLLEGE OF MANAGEMENT,ELLR,Academic Affairs Provost,N,AAPV,C,COLLEGE,0,0,0,0,0,0
McGuire Center,ELMG,Eller Administration,N,3001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Evelyn F. McKnight Brain Institute,EMBI,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Experimental Mouse,EMSR,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Engineering Scholarships and Endowments,EN00,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering Administration,EN01,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering Development,EN02,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering IT,EN03,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering Marketing/Media,EN04,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering Research,EN06,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
ERAS,EN07,Engineering Experiment Station,Y,2306,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
RD,EN08,Engineering Experiment Station,Y,2306,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering Strategic Investments,EN11,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering Academic Affairs,EN30,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering ATLAS,EN31,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering Graduate Education,EN32,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Engineering Academic Affairs ENGR 498,EN33,Engineering Administration,Y,2301,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
College of Engineering,ENGR,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
Enrollment Services,ENRL,Acad Initiatives Stdt Success,Y,STDA,C,COLLEGE,0,0,0,0,0,0
Experimental Radiation,EPRA,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
LARRY ESTES,ESTE,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Educ Tech & Faculty Devel Div,ETFD,Chief Information Officer,Y,CIOF,C,COLLEGE,0,0,0,0,0,0
Commitment to UACC,EXCT,Cancer Center Research,Y,721R,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
University Relations Division,EXDV,Sr VP University Relations,N,EXTL,C,COLLEGE,0,0,0,0,0,0
Sr VP University Relations,EXTL,President,N,PRSM,V,VP LEVEL,0,0,0,0,0,0
DANCE FACILITIES,FAC,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Facilities Support,FACI,Cancer Center Administration,Y,721A,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Facilities,FCLT,Sr VP Business Affairs and CFO,Y,SRBU,V,VP LEVEL,0,0,0,0,0,0
Facilities Management,FCMG,Facilities,Y,FCLT,C,COLLEGE,0,0,0,0,0,0
"ASSOC VICE PRES/PLAN, DESIGN & CONSTRUCT",FDCN,Facilities,N,FCLT,C,COLLEGE,0,0,0,0,0,0
Functional Genomics Core,FGC,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
FSO ITS - Group Management,FIGM,FINANCIAL SERVICES OFC-INFORMATION TECHN,Y,7709,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Finance and Accounting Support,FINA,Cancer Center Administration,Y,721A,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Flow Cytometry,FLCY,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Flow Cytometry Facility,FLOW,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CochiseEFNEP1522,FN22,Cochise County Office,Y,1522,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
NutritionalSciencesEFNEP1523,FN23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MaricopaEFNEP1537,FN37,Maricopa County Office,Y,1537,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PimaEFNEP1540,FN40,Pima County Office,Y,1540,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
PinalEFNEP1541,FN41,Pinal County Office,Y,1541,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
SantaCruzEFNEP1542,FN42,Santa Cruz County Office,Y,1542,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
FOUNDATIONS,FNDN,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
College of Fine Arts,FNRT,VP Arizona Arts,Y,UART,C,COLLEGE,0,0,0,0,0,0
Financial Services,FNSV,VP Financial Services,Y,VFIN,C,COLLEGE,0,0,0,0,0,0
Arizona Forge,FORG,Research-Discovery &Innovation,Y,9906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Departmental Accounts 7701,FS01,FSO-Administration,Y,7701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Departmental Accounts 7702,FS02,FSO-Financial Management,Y,7702,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Departmental Accounts 7703,FS03,FSO-Operations,Y,7703,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Departmental Accounts 7704,FS04,FSO-Bursars office,Y,7704,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
FSO Departmental Accounts 9990,FS90,FSO- Institutional,Y,9990,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
FSO Departmental Accounts 9923,FS99,Institutional Administration,Y,9923,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
FSO GROUP MANAGEMENT,FSGM,FSO-Administration,Y,7701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
GALLERIES,GALY,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
GRADUATE STUDENT CONCERT,GC,School of Dance,Y,3508,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
UAGC Clinical Services,GCCS,University of Arizona Genetics Core,Y,UAGC,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
UAGC Service Center,GCSC,University of Arizona Genetics Core,Y,UAGC,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Human Evolutionary Genetics,GENE,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
OGI Admin,GI01,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Finance and Administration,GI02,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Information Technology,GI04,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Marketing,GI06,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Program Development,GI20,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Office of Western Hemispheric Programs,GI29,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Study Abroad & Student Exchange,GI41,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
International Student Services,GI43,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
International Faculty and Scholars,GI45,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Learner Engagement,GI47,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
OLLI,GI60,UA Global-Other,N,2901,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Confucius,GI62,UA Global-Other,N,2901,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Grants and Contracts,GI64,UA Global-Other,N,2901,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Conferences,GI70,UA Global,N,9004,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CONAHEC,GI80,UA Global-Other,N,2901,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
CaPE Non-Credit Revenue,GI90,Continuing&Professional Educ,N,9015,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Professional Development,GI91,Continuing&Professional Educ,N,9015,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Personal Enrichment,GI93,Continuing&Professional Educ,N,9015,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Customized/Contract Training,GI94,Continuing&Professional Educ,N,9015,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Genome Editing,GNED,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Genomics,GNSR,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Global Research Alliances,GRA,Research-Discovery &Innovation,Y,9906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Graduate College,GRDC,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
MB HARALOVICH,HARA,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Haury Prgm in Envr and Social Justice,HESJ,Institute of the Environment,Y,2530,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Human Immune Monitoring Facility,HIMF,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Senior VP Health Affairs,HLAF,SVP Health Sciences,Y,PRSA,V,VP LEVEL,0,0,0,0,0,0
Az Health Sciences Division,HLGN,Senior VP Health Affairs,Y,HLAF,C,COLLEGE,0,0,0,0,0,0
VP for Business Affairs and HR,HMNR,Sr VP Business Affairs and CFO,Y,SRBU,V,VP LEVEL,0,0,0,0,0,0
College of Humanities,HMNT,Colleges of Letters Arts & Sci,Y,CLAS,C,COLLEGE,0,0,0,0,0,0
Human Resource Support,HMRS,Cancer Center Administration,Y,721A,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Honors College,HNRS,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
Hongu1523,HO23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Human Resources Division,HRDV,VP for Business Affairs and HR,Y,HMNR,C,COLLEGE,0,0,0,0,0,0
High-Resolution Ultrasound Facility,HRUF,Translational BioImaging Resource,Y,TBIR,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
AZ Health Sci Ctrs & Divisions,HSCD,Senior VP Health Affairs,Y,HLAF,C,COLLEGE,0,0,0,0,0,0
Intercollegiate Athletics Div,ICAD,Administration and Athletics,Y,VICA,C,COLLEGE,0,0,0,0,0,0
Imaging Kuiper - Electron Microscopy,ICKP,Imaging Cores,Y,IMGC,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Imaging Marley - Light Microscopy,ICML,Imaging Cores,Y,IMGC,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
IE Administration,IEA,Institute of the Environment,Y,2530,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Imaging LSN - Optical & Electron,ILSN,Imaging Cores,Y,IMGC,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Imaging Cores,IMGC,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
VICE PRES FOR INSTR & DEAN UNIV COLL DIV,INDV,VICE PRES FOR INSTRUCTION & DEAN UNIV CO,N,INST,C,COLLEGE,0,0,0,0,0,0
VICE PRES FOR INSTRUCTION & DEAN UNIV CO,INST,Sr VP Acad Affairs and Provost,N,PVST,V,VP LEVEL,0,0,0,0,0,0
International Affairs,INTL,VP Office of Global Init,N,OTRC,C,COLLEGE,0,0,0,0,0,0
International Research Applications Prgm,IRAP,Institute of the Environment,Y,2530,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Information Technology Support,ITSP,Cancer Center Administration,Y,721A,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
JENNY JENKINS,JENK,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
KidsClub1523,KC23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
James E Rogers College of Law,LAWC,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
Library Administration,LBAD,UA Library Administration ADM,Y,1701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Library Collections Management,LBCM,UA Library Administration ADM,Y,1701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Library Express Document Center,LBED,UA Library Administration ADM,Y,1701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Library Facilities,LBFC,UA Library Administration ADM,Y,1701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Library Finance & Human Resources,LBFH,UA Library Administration ADM,Y,1701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Library General,LBGN,UA Library Administration ADM,Y,1701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Library Information Access,LBIA,UA Library Administration ADM,Y,1701,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Libraries,LBRY,Academic Affairs Provost,Y,AAPV,C,COLLEGE,0,0,0,0,0,0
LIGHTING,LGT,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
LIBRARY,LIBR,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Udall Center,LLH,Udall Center,Y,0436,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
MAdult1537,MA37,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Main Campus,MAIN,University,Y,UNAZ,L,CAMPUS,0,0,0,0,0,0
YURI MAKINO,MAKI,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MARPL,MARP,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MBB1537,MB37,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Marketing Communications Div,MCDV,Chief Marketing Communications,Y,CMCO,C,COLLEGE,0,0,0,0,0,0
Microcirculation,MCRO,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Molecular Discovery Core,MDCR,Cancer Center Shared Resources,Y,721S,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
College of Medicine - Phoenix,MDPX,Senior VP Health Affairs,Y,HLAF,C,COLLEGE,0,0,0,0,0,0
College of Medicine - Tucson,MDTC,Senior VP Health Affairs,Y,HLAF,C,COLLEGE,0,0,0,0,0,0
MEZCOPH1523,ME23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Misner1523,MI23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MIS dept head,MIS1,Management Information Systems,Y,3010,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MIS AI Lab,MIS2,Management Information Systems,Y,3010,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Evelyn F. McKnight Brain Institute,MKNT,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MARKETING,MKT,School of Theatre Arts,N,3506,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Micro/Nano Fabrication Center,MNFC,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Magnetic Resonance Research Facility,MRRF,Translational BioImaging Resource,Y,TBIR,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
MRI Small Animals,MRSA,Translational BioImaging Resource,Y,TBIR,M,UNOFFICIAL ORG - LEVEL 2,0,0,0,0,0,0
Molecular Structures Core,MSC,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MICHAEL MULCAHY,MULC,School of Media Arts,N,3507,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
RDI Museums Division,MUSM,Vice President for Research,Y,RSCH,C,COLLEGE,0,0,0,0,0,0
Machine & Welding Center,MWC,AZ Rsch Labs-Interdisciplinary,Y,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
MYouth1537,MY37,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Navajo1539,NA39,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
NutEduc1523,NE23,Nutritional Sciences-Ext,Y,1523,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Native Nations Institute,NNI,Udall Center,Y,0436,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Peyghambarian Group,NPGP,James C Wyant Coll Optical Sci,Y,2001,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Native Peoples Technical Assist Office,NPTA,Research-Discovery &Innovation,Y,9906,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Nuclear Reactor Laboratory,NRL,AZ Rsch Labs-Interdisciplinary,N,2511,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
DEAN / COLLEGE OF NURSING,NRSG,Senior VP Health Affairs,N,HLAF,C,COLLEGE,0,0,0,0,0,0
